Frequecy,Amp
500000,-15.12088364
1500000,-27.36706268
2500000,-45.32715942
3500000,-55.41650526
4500000,-60.49706016
5500000,-62.5989162
6500000,-63.33188674
7500000,-63.55865588
8500000,-63.70552221
9500000,-63.51637415
10500000,-63.62325599
11500000,-63.49007588
12500000,-63.97147086
13500000,-63.85858691
14500000,-61.69728215
15500000,-63.35952082
16500000,-63.1046391
17500000,-61.29311016
18500000,-46.26167716
19500000,-34.13326675
20500000,-62.8158151
21500000,-62.56173761
22500000,-62.37787334
23500000,-62.59301645
24500000,-62.4967117
25500000,-62.43286842
26500000,-62.43558948
27500000,-62.4506721
28500000,-62.63400427
29500000,-63.40093254
30500000,-63.61212402
31500000,-64.08869432
32500000,-64.08485262
33500000,-63.89127233
34500000,-64.23171977
35500000,-64.72530618
36500000,-64.6653122
37500000,-64.78636689
38500000,-64.71118385
39500000,-62.9983382
40500000,-63.04000037
41500000,-64.4303874
42500000,-64.40008816
43500000,-64.71723625
44500000,-64.62446752
45500000,-64.41668231
46500000,-64.47307128
47500000,-64.6760877
48500000,-64.33382944
49500000,-64.42593786
50500000,-64.29298141
51500000,-64.14590882
52500000,-64.11640741
53500000,-64.02359809
54500000,-63.90877795
55500000,-63.78323125
56500000,-63.60606421
57500000,-63.48075132
58500000,-63.37981555
59500000,-63.15874018
60500000,-63.0455907
61500000,-62.54100449
62500000,-62.42919064
63500000,-62.09289555
64500000,-61.92573594
65500000,-61.90844035
66500000,-61.44093403
67500000,-61.2750625
68500000,-60.71090467
69500000,-59.78745593
70500000,-59.28368615
71500000,-58.56682228
72500000,-57.93761666
73500000,-57.30521075
74500000,-57.47033542
75500000,-58.17060543
76500000,-58.87975961
77500000,-59.33720794
78500000,-59.86234789
79500000,-59.60376446
80500000,-59.90109952
81500000,-61.50036615
82500000,-62.31747424
83500000,-62.89102005
84500000,-63.60566693
85500000,-64.45305451
86500000,-64.84585312
87500000,-64.95324581
88500000,-65.29718889
89500000,-65.21688063
90500000,-64.88099631
91500000,-64.70468588
92500000,-64.30532816
93500000,-62.72393574
94500000,-63.33804267
95500000,-64.48513434
96500000,-64.38979271
97500000,-64.17296305
98500000,-63.95114356
99500000,-63.92908984
100500000,-63.30167664
101500000,-63.23848747
102500000,-63.04675939
103500000,-62.9378325
104500000,-62.73710986
105500000,-62.72385702
106500000,-62.58353799
107500000,-62.31536702
108500000,-62.2518128
109500000,-62.11626701
110500000,-62.03376535
111500000,-61.57729984
112500000,-61.48234989
113500000,-61.07708576
114500000,-60.92300626
115500000,-60.39547491
116500000,-60.2142527
117500000,-59.61926842
118500000,-59.29746512
119500000,-58.99172885
120500000,-58.56764939
121500000,-58.28488272
122500000,-57.82108522
123500000,-57.29425362
124500000,-57.01442137
125500000,-56.86758706
126500000,-56.83798149
127500000,-57.14323515
128500000,-57.72328466
129500000,-57.59632419
130500000,-57.58878235
131500000,-57.41727561
132500000,-57.20725682
133500000,-57.03858149
134500000,-56.96091603
135500000,-56.62049723
136500000,-56.79168726
137500000,-56.21019302
138500000,-55.98801204
139500000,-55.79665241
140500000,-55.7040681
141500000,-55.50078853
142500000,-55.25321581
143500000,-54.87433421
144500000,-54.63377022
145500000,-54.82767678
146500000,-54.58269805
147500000,-54.65513088
148500000,-54.52264743
149500000,-54.9928087
150500000,-55.02255763
151500000,-54.72203583
152500000,-54.64307942
153500000,-54.47493873
154500000,-54.75548052
155500000,-53.1165539
156500000,-52.4041285
157500000,-54.22806891
158500000,-53.83938286
159500000,-55.28282927
160500000,-55.54442431
161500000,-56.09634672
162500000,-56.21009617
163500000,-56.50625072
164500000,-57.28748053
165500000,-57.46591695
166500000,-58.07217813
167500000,-58.4106949
168500000,-58.7801842
169500000,-59.39363199
170500000,-59.352087
171500000,-59.60229073
172500000,-59.47253068
173500000,-59.69641184
174500000,-60.01993548
175500000,-60.08131292
176500000,-60.39336584
177500000,-60.60884406
178500000,-60.74354841
179500000,-60.83182
180500000,-60.98988477
181500000,-61.62827976
182500000,-61.98949646
183500000,-62.15099762
184500000,-62.3471021
185500000,-62.86059008
186500000,-62.81706341
187500000,-62.88823524
188500000,-63.49269292
189500000,-63.50422744
190500000,-62.96833206
191500000,-62.93380079
192500000,-63.00161118
193500000,-62.84633859
194500000,-62.71710624
195500000,-62.57669358
196500000,-62.40539206
197500000,-62.21244952
198500000,-62.08466823
199500000,-61.8452264
200500000,-61.49907032
201500000,-61.41907817
202500000,-61.32632337
203500000,-61.34428628
204500000,-61.30737748
205500000,-61.03344337
206500000,-61.22019061
207500000,-61.63695891
208500000,-61.85773569
209500000,-62.02311778
210500000,-62.78589386
211500000,-62.6873201
212500000,-62.89165382
213500000,-62.93679262
214500000,-63.16486047
215500000,-63.01628342
216500000,-63.06302549
217500000,-58.80555043
218500000,-50.81431551
219500000,-53.41537955
220500000,-63.60741542
221500000,-63.87091483
222500000,-63.92421746
223500000,-64.07205345
224500000,-63.94141665
225500000,-64.51208457
226500000,-64.22906697
227500000,-64.31390968
228500000,-63.96795531
229500000,-64.20861112
230500000,-63.40798009
231500000,-63.25905162
232500000,-63.46247447
233500000,-63.39453685
234500000,-63.35220636
235500000,-63.81921382
236500000,-63.89512222
237500000,-63.60246703
238500000,-63.53134504
239500000,-63.94174739
240500000,-63.53978147
241500000,-63.88172725
242500000,-64.25318586
243500000,-64.30187026
244500000,-64.6422841
245500000,-64.57375227
246500000,-64.3704163
247500000,-64.71211984
248500000,-64.85572813
249500000,-62.3556733
250500000,-62.32828295
251500000,-64.53946623
252500000,-64.43308547
253500000,-64.3831674
254500000,-64.40576471
255500000,-64.28718654
256500000,-64.20140974
257500000,-64.00760095
258500000,-63.84445817
259500000,-63.49883644
260500000,-64.03958515
261500000,-63.67374896
262500000,-63.85015206
263500000,-63.95647199
264500000,-63.89262922
265500000,-63.3210355
266500000,-63.27303745
267500000,-63.42377058
268500000,-63.59367028
269500000,-63.70952237
270500000,-63.97162463
271500000,-63.94010818
272500000,-64.00797564
273500000,-64.20627743
274500000,-64.2720521
275500000,-63.81127416
276500000,-63.82647198
277500000,-63.77187391
278500000,-63.66359647
279500000,-62.9510335
280500000,-50.18694855
281500000,-47.50896114
282500000,-55.72046959
283500000,-63.7647094
284500000,-63.57063089
285500000,-63.8389488
286500000,-63.6555621
287500000,-63.06383972
288500000,-63.00478469
289500000,-63.04897876
290500000,-62.91739439
291500000,-62.86661337
292500000,-62.92442929
293500000,-62.90679513
294500000,-63.06438917
295500000,-63.05108738
296500000,-63.14158708
297500000,-63.12644739
298500000,-62.99279956
299500000,-63.02087789
300500000,-63.11050324
301500000,-63.3405612
302500000,-63.2882657
303500000,-63.35094835
304500000,-63.46760874
305500000,-63.34166276
306500000,-63.28759154
307500000,-63.59001495
308500000,-63.50438893
309500000,-63.5557784
310500000,-63.76001894
311500000,-63.31034597
312500000,-62.57995028
313500000,-63.34751179
314500000,-63.67455456
315500000,-63.20593653
316500000,-63.17626452
317500000,-63.08083933
318500000,-63.26981506
319500000,-63.0884865
320500000,-63.24617283
321500000,-62.89924815
322500000,-62.63744156
323500000,-62.66158171
324500000,-62.54336371
325500000,-62.29737028
326500000,-62.31354397
327500000,-62.26215928
328500000,-62.3451037
329500000,-62.34857621
330500000,-62.47097028
331500000,-62.40746519
332500000,-62.52374958
333500000,-62.17608019
334500000,-62.4724595
335500000,-62.40613045
336500000,-62.12063727
337500000,-62.21267301
338500000,-62.00232699
339500000,-61.93147142
340500000,-61.52822067
341500000,-61.37831976
342500000,-58.62381168
343500000,-51.94341142
344500000,-54.42231834
345500000,-61.31448862
346500000,-61.1833922
347500000,-60.68292022
348500000,-60.9005075
349500000,-60.93692002
350500000,-60.76976374
351500000,-60.34133242
352500000,-60.43371281
353500000,-60.57223993
354500000,-60.63273641
355500000,-60.16094865
356500000,-60.13014677
357500000,-60.49168071
358500000,-60.42208672
359500000,-60.22384735
360500000,-60.58921133
361500000,-60.61739025
362500000,-60.78156533
363500000,-60.65902629
364500000,-60.85662136
365500000,-61.38271648
366500000,-61.21634361
367500000,-61.07237657
368500000,-61.21378625
369500000,-61.78655965
370500000,-61.87556326
371500000,-61.8982042
372500000,-62.03941461
373500000,-62.5446859
374500000,-62.33826176
375500000,-62.02055595
376500000,-62.61607928
377500000,-63.04477781
378500000,-63.23647888
379500000,-62.9925032
380500000,-63.07393213
381500000,-63.43536281
382500000,-63.82641944
383500000,-63.10940118
384500000,-63.18587847
385500000,-63.74839804
386500000,-63.82891902
387500000,-60.78477785
388500000,-58.68919159
389500000,-60.86678445
390500000,-64.19748406
391500000,-63.39634429
392500000,-63.30579232
393500000,-64.03007512
394500000,-64.23675251
395500000,-63.57376383
396500000,-63.43033601
397500000,-64.13424094
398500000,-64.28888181
399500000,-62.85893082
400500000,-62.22334207
401500000,-63.86218405
402500000,-64.45922699
403500000,-64.33260105
404500000,-63.81235145
405500000,-56.578823
406500000,-54.02835398
407500000,-60.73551302
408500000,-63.39121768
409500000,-64.42553188
410500000,-64.69457248
411500000,-64.59612421
412500000,-64.17614369
413500000,-64.48461556
414500000,-64.52474886
415500000,-63.74847117
416500000,-63.70025064
417500000,-64.31478343
418500000,-64.46854986
419500000,-63.96366683
420500000,-64.69431371
421500000,-65.45674664
422500000,-65.72087321
423500000,-65.20838898
424500000,-65.02111952
425500000,-65.39163972
426500000,-65.57568138
427500000,-65.81169572
428500000,-65.74019273
429500000,-65.7578953
430500000,-65.84793933
431500000,-65.73581387
432500000,-65.71572953
433500000,-65.65190365
434500000,-65.76907588
435500000,-66.01159685
436500000,-65.85370875
437500000,-64.76329519
438500000,-65.72508329
439500000,-65.76258564
440500000,-65.90940061
441500000,-66.08702709
442500000,-66.38798164
443500000,-66.43247976
444500000,-66.35724248
445500000,-66.3993242
446500000,-66.37828694
447500000,-66.38589571
448500000,-66.53005796
449500000,-66.51349946
450500000,-66.39022412
451500000,-66.31382046
452500000,-66.21962904
